9020.JT,ffd08b52-e4f2-11ee-b30e-3774e444eabf,East Japan Railway
005930.KS,ffd08b53-e4f2-11ee-b30e-3774e444eabf,Samsung Electronics
AZN.LN,ffd08b54-e4f2-11ee-b30e-3774e444eabf,ASTRAZENECA PLC
RTN.LN,ffd08b55-e4f2-11ee-b30e-3774e444eabf,RESTAURANT GROUP PLC
GSK.LN,ffd08b56-e4f2-11ee-b30e-3774e444eabf,GSK
BARC.LN,ffd08b57-e4f2-11ee-b30e-3774e444eabf,Barclays
SPT.US,ffd08b58-e4f2-11ee-b30e-3774e444eabf,Sprout
JD.US,cddf22d6-9d83-11ee-8ba2-c75ffde41a09,JD.com Inc.
PDD.US,cddf22fe-9d83-11ee-8ba2-c75ffde41a09,PDD Holdings
NTES.US,cddf22c6-9d83-11ee-8ba2-c75ffde41a09,NetEase Inc.
BILI.US,cddf22fa-9d83-11ee-8ba2-c75ffde41a09,Bilibili Inc.
BIDU.US,cddf22fb-9d83-11ee-8ba2-c75ffde41a09,Baidu.com Inc.
LI.US,cddf22f1-9d83-11ee-8ba2-c75ffde41a09,LI AUTO INC.
FUTU.US,cddf22f7-9d83-11ee-8ba2-c75ffde41a09,Futu Holdings
AMZN.US,cddf2301-9d83-11ee-8ba2-c75ffde41a09,Amazon.com Inc.
NFLX.US,cddf22d5-9d83-11ee-8ba2-c75ffde41a09,Netflix Inc.
META.US,cddf22d2-9d83-11ee-8ba2-c75ffde41a09,Meta Platforms Inc.
GOOGL.US,cddf22c8-9d83-11ee-8ba2-c75ffde41a09,Alphabet Inc.
MSFT.US,cddf2303-9d83-11ee-8ba2-c75ffde41a09,Microsoft Corp.
DDOG.US,cddf22e5-9d83-11ee-8ba2-c75ffde41a09,Datadog Inc.
ZS.US,cddf22d4-9d83-11ee-8ba2-c75ffde41a09,Zscaler
ADBE.US,cddf22d8-9d83-11ee-8ba2-c75ffde41a09,Adobe Inc.
ABNB.US,cddf22f8-9d83-11ee-8ba2-c75ffde41a09,Airbnb Inc.
AAPL.US,cddf22d3-9d83-11ee-8ba2-c75ffde41a09,Apple Inc.
MAR.US,cddf2305-9d83-11ee-8ba2-c75ffde41a09,Marriott International
MU.US,cddf22c9-9d83-11ee-8ba2-c75ffde41a09,Micron Technology Inc.
AMD.US,cddf22fc-9d83-11ee-8ba2-c75ffde41a09,Advanced Micro Devices Inc.
NVDA.US,cddf22c4-9d83-11ee-8ba2-c75ffde41a09,Nvidia
INTC.US,cddf22dc-9d83-11ee-8ba2-c75ffde41a09,Intel Corp.
