RMS.FP,,,,
RIVN.US,ffd08b7f-e4f2-11ee-b30e-3774e444eabf,Rivian,Rivian Automotive Inc.,202ec6d0-683d-46a7-ae20-b742be1eb4d4
PANW.US,ffd08b80-e4f2-11ee-b30e-3774e444eabf,Palo Alto Networks,Palo Alto Networks,02ce892e-63aa-11d6-9c78-c5739085fdbc
WBD.US,ffd08b81-e4f2-11ee-b30e-3774e444eabf,Warner Bros. Discovery,Warner Bros Discovery Inc.,c4e147fe-6413-11d6-99b8-e70130c42a81
MDB.US,ffd08b82-e4f2-11ee-b30e-3774e444eabf,MongoDB,MongoDB Inc.,a98da8a0-6312-11d6-9edf-9263cb892872
ON.US,ffd08b83-e4f2-11ee-b30e-3774e444eabf,ON Semiconductor,BE Semiconductor Industries,737a7927-c6fc-446d-bdb6-1314193dc398
CMCSA.US,ffd08b84-e4f2-11ee-b30e-3774e444eabf,Comcast,Comcast Corp.,eb00c560-64fc-11d6-9f84-937192f8db56
WYNN.US,ffd08b85-e4f2-11ee-b30e-3774e444eabf,Wynn Resorts,Wynn Resorts Ltd.,7365eae0-6528-11d6-8594-cc215a643779
LRCX.US,ffd08b86-e4f2-11ee-b30e-3774e444eabf,Lam Research,Lam Research Corp.,c1683b40-d481-11d5-8f83-f03a82eb7e91
CME.US,ffd08b87-e4f2-11ee-b30e-3774e444eabf,CME,CME Group,c5c4c34a-643a-11d6-999e-f46fa78bd5e9
MARA.US,ffd08b88-e4f2-11ee-b30e-3774e444eabf,Marathon Digital,,not found
SNPS.US,ffd08b89-e4f2-11ee-b30e-3774e444eabf,Synopsys,Intuit Inc.,c158c390-d481-11d5-8f83-f03a82eb7e91
TTD.US,ffd08b8a-e4f2-11ee-b30e-3774e444eabf,Trade Desk,,not found
MRVL.US,ffd08b8b-e4f2-11ee-b30e-3774e444eabf,Marvell,Marvell Technology Inc.,82b98fd8-de00-11d5-9be0-f05e055bbe70
TRIP.US,ffd08b8c-e4f2-11ee-b30e-3774e444eabf,Tripadvisor,TripAdvisor Inc.,032111fa-63b7-11d6-9fd8-ed2ce15a682f
LULU.US,ffd08b8d-e4f2-11ee-b30e-3774e444eabf,LuluLemon,Lululemon Athletica Inc.,aec38abe-6444-11d6-89ce-843f175b2569
JPM.US,,,,
SPOT.US,ffd08b8f-e4f2-11ee-b30e-3774e444eabf,SPOTIFY,Spotify Technology S.A.,75c0e174-62ed-11d6-8511-b8152dc2faab
BABA.US,,,,
BEKE.US,,,,
NIO.US,,,,
XPEV.US,,,,
TSM.US,,,,
ORCL.US,,,,
AI.US,,,,
CRM.US,,,,
DIS.US,,,,
MGM.US,,,,
CCL.US,,,,
WFC.US,,,,
SQ.US,,,,
BA.US,,,,
FCX.US,,,,
SE.US,,,,
NKE.US,,,,
UBER.US,ffd08b92-e4f2-11ee-b30e-3774e444eabf,Uber,Uber Technologies Inc.,3506c7a2-62b1-11d6-9edf-d2a30b89a8b2
WMT.US,,,,
T.US,ffd08b93-e4f2-11ee-b30e-3774e444eabf,AT&T,Pets at Home Group,a9af8c12-6381-11d6-89e8-b7e100c48a71
PFE.US,ffd08b94-e4f2-11ee-b30e-3774e444eabf,Pfizer,Pfizer Inc.,c88319cc-d481-11d5-8f83-f03a82eb7e91
SHOP.US,ffd08b95-e4f2-11ee-b30e-3774e444eabf,SHOPIFY,Shopify Inc.,2fd046ba-6364-11d6-81e9-fce7d4c2867a
AMC.US,ffd08b96-e4f2-11ee-b30e-3774e444eabf,AMC ENTERTAINMENT,AMC Entertainment Holdings,dc07a100-6385-11d6-81f0-ff51960bcf9e
